DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
1,VER,max_verstappen,red_bull,1.0,Bahrain Grand Prix,1,2023
11,PER,perez,red_bull,2.0,Bahrain Grand Prix,1,2023
14,ALO,alonso,aston_martin,3.0,Bahrain Grand Prix,1,2023
55,SAI,sainz,ferrari,4.0,Bahrain Grand Prix,1,2023
44,HAM,hamilton,mercedes,5.0,Bahrain Grand Prix,1,2023
18,STR,stroll,aston_martin,6.0,Bahrain Grand Prix,1,2023
63,RUS,russell,mercedes,7.0,Bahrain Grand Prix,1,2023
77,BOT,bottas,alfa,8.0,Bahrain Grand Prix,1,2023
10,GAS,gasly,alpine,9.0,Bahrain Grand Prix,1,2023
23,ALB,albon,williams,10.0,Bahrain Grand Prix,1,2023
22,TSU,tsunoda,alphatauri,11.0,Bahrain Grand Prix,1,2023
2,SAR,sargeant,williams,12.0,Bahrain Grand Prix,1,2023
20,MAG,kevin_magnussen,haas,13.0,Bahrain Grand Prix,1,2023
21,DEV,de_vries,alphatauri,14.0,Bahrain Grand Prix,1,2023
27,HUL,hulkenberg,haas,15.0,Bahrain Grand Prix,1,2023
24,ZHO,zhou,alfa,16.0,Bahrain Grand Prix,1,2023
4,NOR,norris,mclaren,17.0,Bahrain Grand Prix,1,2023
31,OCO,ocon,alpine,18.0,Bahrain Grand Prix,1,2023
16,LEC,leclerc,ferrari,19.0,Bahrain Grand Prix,1,2023
81,PIA,piastri,mclaren,20.0,Bahrain Grand Prix,1,2023
11,PER,perez,red_bull,1.0,Saudi Arabian Grand Prix,2,2023
1,VER,max_verstappen,red_bull,2.0,Saudi Arabian Grand Prix,2,2023
14,ALO,alonso,aston_martin,3.0,Saudi Arabian Grand Prix,2,2023
63,RUS,russell,mercedes,4.0,Saudi Arabian Grand Prix,2,2023
44,HAM,hamilton,mercedes,5.0,Saudi Arabian Grand Prix,2,2023
55,SAI,sainz,ferrari,6.0,Saudi Arabian Grand Prix,2,2023
16,LEC,leclerc,ferrari,7.0,Saudi Arabian Grand Prix,2,2023
31,OCO,ocon,alpine,8.0,Saudi Arabian Grand Prix,2,2023
10,GAS,gasly,alpine,9.0,Saudi Arabian Grand Prix,2,2023
20,MAG,kevin_magnussen,haas,10.0,Saudi Arabian Grand Prix,2,2023
22,TSU,tsunoda,alphatauri,11.0,Saudi Arabian Grand Prix,2,2023
27,HUL,hulkenberg,haas,12.0,Saudi Arabian Grand Prix,2,2023
24,ZHO,zhou,alfa,13.0,Saudi Arabian Grand Prix,2,2023
21,DEV,de_vries,alphatauri,14.0,Saudi Arabian Grand Prix,2,2023
81,PIA,piastri,mclaren,15.0,Saudi Arabian Grand Prix,2,2023
2,SAR,sargeant,williams,16.0,Saudi Arabian Grand Prix,2,2023
4,NOR,norris,mclaren,17.0,Saudi Arabian Grand Prix,2,2023
