DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
16,LEC,leclerc,ferrari,1.0,Bahrain Grand Prix,1,2022
55,SAI,sainz,ferrari,2.0,Bahrain Grand Prix,1,2022
44,HAM,hamilton,mercedes,3.0,Bahrain Grand Prix,1,2022
63,RUS,russell,mercedes,4.0,Bahrain Grand Prix,1,2022
20,MAG,kevin_magnussen,haas,5.0,Bahrain Grand Prix,1,2022
77,BOT,bottas,alfa,6.0,Bahrain Grand Prix,1,2022
31,OCO,ocon,alpine,7.0,Bahrain Grand Prix,1,2022
22,TSU,tsunoda,alphatauri,8.0,Bahrain Grand Prix,1,2022
14,ALO,alonso,alpine,9.0,Bahrain Grand Prix,1,2022
24,ZHO,zhou,alfa,10.0,Bahrain Grand Prix,1,2022
47,MSC,mick_schumacher,haas,11.0,Bahrain Grand Prix,1,2022
18,STR,stroll,aston_martin,12.0,Bahrain Grand Prix,1,2022
23,ALB,albon,williams,13.0,Bahrain Grand Prix,1,2022
3,RIC,ricciardo,mclaren,14.0,Bahrain Grand Prix,1,2022
4,NOR,norris,mclaren,15.0,Bahrain Grand Prix,1,2022
6,LAT,latifi,williams,16.0,Bahrain Grand Prix,1,2022
27,HUL,hulkenberg,aston_martin,17.0,Bahrain Grand Prix,1,2022
11,PER,perez,red_bull,18.0,Bahrain Grand Prix,1,2022
1,VER,max_verstappen,red_bull,19.0,Bahrain Grand Prix,1,2022
10,GAS,gasly,alphatauri,20.0,Bahrain Grand Prix,1,2022
1,VER,max_verstappen,red_bull,1.0,Saudi Arabian Grand Prix,2,2022
16,LEC,leclerc,ferrari,2.0,Saudi Arabian Grand Prix,2,2022
55,SAI,sainz,ferrari,3.0,Saudi Arabian Grand Prix,2,2022
11,PER,perez,red_bull,4.0,Saudi Arabian Grand Prix,2,2022
63,RUS,russell,mercedes,5.0,Saudi Arabian Grand Prix,2,2022
31,OCO,ocon,alpine,6.0,Saudi Arabian Grand Prix,2,2022
4,NOR,norris,mclaren,7.0,Saudi Arabian Grand Prix,2,2022
10,GAS,gasly,alphatauri,8.0,Saudi Arabian Grand Prix,2,2022
20,MAG,kevin_magnussen,haas,9.0,Saudi Arabian Grand Prix,2,2022
44,HAM,hamilton,mercedes,10.0,Saudi Arabian Grand Prix,2,2022
24,ZHO,zhou,alfa,11.0,Saudi Arabian Grand Prix,2,2022
27,HUL,hulkenberg,aston_martin,12.0,Saudi Arabian Grand Prix,2,2022
18,STR,stroll,aston_martin,13.0,Saudi Arabian Grand Prix,2,2022
23,ALB,albon,williams,14.0,Saudi Arabian Grand Prix,2,2022
77,BOT,bottas,alfa,15.0,Saudi Arabian Grand Prix,2,2022
14,ALO,alonso,alpine,16.0,Saudi Arabian Grand Prix,2,2022
3,RIC,ricciardo,mclaren,17.0,Saudi Arabian Grand Prix,2,2022
6,LAT,latifi,williams,18.0,Saudi Arabian Grand Prix,2,2022
22,TSU,tsunoda,alphatauri,19.0,Saudi Arabian Grand Prix,2,2022
47,MSC,mick_schumacher,haas,,Saudi Arabian Grand Prix,2,2022
16,LEC,leclerc,ferrari,1.0,Australian Grand Prix,3,2022
11,PER,perez,red_bull,2.0,Australian Grand Prix,3,2022
63,RUS,russell,mercedes,3.0,Australian Grand Prix,3,2022
44,HAM,hamilton,mercedes,4.0,Australian Grand Prix,3,2022
4,NOR,norris,mclaren,5.0,Australian Grand Prix,3,2022
3,RIC,ricciardo,mclaren,6.0,Australian Grand Prix,3,2022
31,OCO,ocon,alpine,7.0,Australian Grand Prix,3,2022
77,BOT,bottas,alfa,8.0,Australian Grand Prix,3,2022
10,GAS,gasly,alphatauri,9.0,Australian Grand Prix,3,2022
23,ALB,albon,williams,10.0,Australian Grand Prix,3,2022
24,ZHO,zhou,alfa,11.0,Australian Grand Prix,3,2022
18,STR,stroll,aston_martin,12.0,Australian Grand Prix,3,2022
47,MSC,mick_schumacher,haas,13.0,Australian Grand Prix,3,2022
20,MAG,kevin_magnussen,haas,14.0,Australian Grand Prix,3,2022
22,TSU,tsunoda,alphatauri,15.0,Australian Grand Prix,3,2022
6,LAT,latifi,williams,16.0,Australian Grand Prix,3,2022
14,ALO,alonso,alpine,17.0,Australian Grand Prix,3,2022
1,VER,max_verstappen,red_bull,18.0,Australian Grand Prix,3,2022
5,VET,vettel,aston_martin,19.0,Australian Grand Prix,3,2022
55,SAI,sainz,ferrari,20.0,Australian Grand Prix,3,2022
1,VER,max_verstappen,red_bull,1.0,Emilia Romagna Grand Prix,4,2022
11,PER,perez,red_bull,2.0,Emilia Romagna Grand Prix,4,2022
4,NOR,norris,mclaren,3.0,Emilia Romagna Grand Prix,4,2022
63,RUS,russell,mercedes,4.0,Emilia Romagna Grand Prix,4,2022
77,BOT,bottas,alfa,5.0,Emilia Romagna Grand Prix,4,2022
16,LEC,leclerc,ferrari,6.0,Emilia Romagna Grand Prix,4,2022
22,TSU,tsunoda,alphatauri,7.0,Emilia Romagna Grand Prix,4,2022
5,VET,vettel,aston_martin,8.0,Emilia Romagna Grand Prix,4,2022
20,MAG,kevin_magnussen,haas,9.0,Emilia Romagna Grand Prix,4,2022
18,STR,stroll,aston_martin,10.0,Emilia Romagna Grand Prix,4,2022
23,ALB,albon,williams,11.0,Emilia Romagna Grand Prix,4,2022
10,GAS,gasly,alphatauri,12.0,Emilia Romagna Grand Prix,4,2022
44,HAM,hamilton,mercedes,13.0,Emilia Romagna Grand Prix,4,2022
31,OCO,ocon,alpine,14.0,Emilia Romagna Grand Prix,4,2022
24,ZHO,zhou,alfa,15.0,Emilia Romagna Grand Prix,4,2022
6,LAT,latifi,williams,16.0,Emilia Romagna Grand Prix,4,2022
47,MSC,mick_schumacher,haas,17.0,Emilia Romagna Grand Prix,4,2022
3,RIC,ricciardo,mclaren,18.0,Emilia Romagna Grand Prix,4,2022
14,ALO,alonso,alpine,19.0,Emilia Romagna Grand Prix,4,2022
55,SAI,sainz,ferrari,20.0,Emilia Romagna Grand Prix,4,2022
1,VER,max_verstappen,red_bull,1.0,Miami Grand Prix,5,2022
16,LEC,leclerc,ferrari,2.0,Miami Grand Prix,5,2022
55,SAI,sainz,ferrari,3.0,Miami Grand Prix,5,2022
11,PER,perez,red_bull,4.0,Miami Grand Prix,5,2022
63,RUS,russell,mercedes,5.0,Miami Grand Prix,5,2022
44,HAM,hamilton,mercedes,6.0,Miami Grand Prix,5,2022
77,BOT,bottas,alfa,7.0,Miami Grand Prix,5,2022
31,OCO,ocon,alpine,8.0,Miami Grand Prix,5,2022
23,ALB,albon,williams,9.0,Miami Grand Prix,5,2022
18,STR,stroll,aston_martin,10.0,Miami Grand Prix,5,2022
14,ALO,alonso,alpine,11.0,Miami Grand Prix,5,2022
22,TSU,tsunoda,alphatauri,12.0,Miami Grand Prix,5,2022
3,RIC,ricciardo,mclaren,13.0,Miami Grand Prix,5,2022
6,LAT,latifi,williams,14.0,Miami Grand Prix,5,2022
47,MSC,mick_schumacher,haas,15.0,Miami Grand Prix,5,2022
20,MAG,kevin_magnussen,haas,16.0,Miami Grand Prix,5,2022
5,VET,vettel,aston_martin,17.0,Miami Grand Prix,5,2022
10,GAS,gasly,alphatauri,18.0,Miami Grand Prix,5,2022
4,NOR,norris,mclaren,19.0,Miami Grand Prix,5,2022
24,ZHO,zhou,alfa,20.0,Miami Grand Prix,5,2022
1,VER,max_verstappen,red_bull,1.0,Spanish Grand Prix,6,2022
11,PER,perez,red_bull,2.0,Spanish Grand Prix,6,2022
63,RUS,russell,mercedes,3.0,Spanish Grand Prix,6,2022
55,SAI,sainz,ferrari,4.0,Spanish Grand Prix,6,2022
44,HAM,hamilton,mercedes,5.0,Spanish Grand Prix,6,2022
77,BOT,bottas,alfa,6.0,Spanish Grand Prix,6,2022
31,OCO,ocon,alpine,7.0,Spanish Grand Prix,6,2022
4,NOR,norris,mclaren,8.0,Spanish Grand Prix,6,2022
14,ALO,alonso,alpine,9.0,Spanish Grand Prix,6,2022
