DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
33,VER,max_verstappen,red_bull,1.0,70th Anniversary Grand Prix,5,2020
44,HAM,hamilton,mercedes,2.0,70th Anniversary Grand Prix,5,2020
77,BOT,bottas,mercedes,3.0,70th Anniversary Grand Prix,5,2020
16,LEC,leclerc,ferrari,4.0,70th Anniversary Grand Prix,5,2020
23,ALB,albon,red_bull,5.0,70th Anniversary Grand Prix,5,2020
18,STR,stroll,racing_point,6.0,70th Anniversary Grand Prix,5,2020
27,HUL,hulkenberg,racing_point,7.0,70th Anniversary Grand Prix,5,2020
31,OCO,ocon,renault,8.0,70th Anniversary Grand Prix,5,2020
4,NOR,norris,mclaren,9.0,70th Anniversary Grand Prix,5,2020
26,KVY,kvyat,alphatauri,10.0,70th Anniversary Grand Prix,5,2020
10,GAS,gasly,alphatauri,11.0,70th Anniversary Grand Prix,5,2020
5,VET,vettel,ferrari,12.0,70th Anniversary Grand Prix,5,2020
55,SAI,sainz,mclaren,13.0,70th Anniversary Grand Prix,5,2020
3,RIC,ricciardo,renault,14.0,70th Anniversary Grand Prix,5,2020
7,RAI,raikkonen,alfa,15.0,70th Anniversary Grand Prix,5,2020
8,GRO,grosjean,haas,16.0,70th Anniversary Grand Prix,5,2020
99,GIO,giovinazzi,alfa,17.0,70th Anniversary Grand Prix,5,2020
63,RUS,russell,williams,18.0,70th Anniversary Grand Prix,5,2020
6,LAT,latifi,williams,19.0,70th Anniversary Grand Prix,5,2020
20,MAG,kevin_magnussen,haas,20.0,70th Anniversary Grand Prix,5,2020
44,HAM,hamilton,mercedes,1.0,Spanish Grand Prix,6,2020
33,VER,max_verstappen,red_bull,2.0,Spanish Grand Prix,6,2020
77,BOT,bottas,mercedes,3.0,Spanish Grand Prix,6,2020
18,STR,stroll,racing_point,4.0,Spanish Grand Prix,6,2020
11,PER,perez,racing_point,5.0,Spanish Grand Prix,6,2020
55,SAI,sainz,mclaren,6.0,Spanish Grand Prix,6,2020
5,VET,vettel,ferrari,7.0,Spanish Grand Prix,6,2020
23,ALB,albon,red_bull,8.0,Spanish Grand Prix,6,2020
10,GAS,gasly,alphatauri,9.0,Spanish Grand Prix,6,2020
4,NOR,norris,mclaren,10.0,Spanish Grand Prix,6,2020
3,RIC,ricciardo,renault,11.0,Spanish Grand Prix,6,2020
26,KVY,kvyat,alphatauri,12.0,Spanish Grand Prix,6,2020
31,OCO,ocon,renault,13.0,Spanish Grand Prix,6,2020
7,RAI,raikkonen,alfa,14.0,Spanish Grand Prix,6,2020
