DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
1,VER,max_verstappen,red_bull,1.0,Bahrain Grand Prix,1,2024
11,PER,perez,red_bull,2.0,Bahrain Grand Prix,1,2024
55,SAI,sainz,ferrari,3.0,Bahrain Grand Prix,1,2024
16,LEC,leclerc,ferrari,4.0,Bahrain Grand Prix,1,2024
63,RUS,russell,mercedes,5.0,Bahrain Grand Prix,1,2024
4,NOR,norris,mclaren,6.0,Bahrain Grand Prix,1,2024
44,HAM,hamilton,mercedes,7.0,Bahrain Grand Prix,1,2024
81,PIA,piastri,mclaren,8.0,Bahrain Grand Prix,1,2024
14,ALO,alonso,aston_martin,9.0,Bahrain Grand Prix,1,2024
18,STR,stroll,aston_martin,10.0,Bahrain Grand Prix,1,2024
24,ZHO,zhou,sauber,11.0,Bahrain Grand Prix,1,2024
20,MAG,kevin_magnussen,haas,12.0,Bahrain Grand Prix,1,2024
3,RIC,ricciardo,rb,13.0,Bahrain Grand Prix,1,2024
22,TSU,tsunoda,rb,14.0,Bahrain Grand Prix,1,2024
23,ALB,albon,williams,15.0,Bahrain Grand Prix,1,2024
27,HUL,hulkenberg,haas,16.0,Bahrain Grand Prix,1,2024
31,OCO,ocon,alpine,17.0,Bahrain Grand Prix,1,2024
10,GAS,gasly,alpine,18.0,Bahrain Grand Prix,1,2024
77,BOT,bottas,sauber,19.0,Bahrain Grand Prix,1,2024
2,SAR,sargeant,williams,20.0,Bahrain Grand Prix,1,2024
1,VER,max_verstappen,red_bull,1.0,Saudi Arabian Grand Prix,2,2024
11,PER,perez,red_bull,2.0,Saudi Arabian Grand Prix,2,2024
16,LEC,leclerc,ferrari,3.0,Saudi Arabian Grand Prix,2,2024
81,PIA,piastri,mclaren,4.0,Saudi Arabian Grand Prix,2,2024
14,ALO,alonso,aston_martin,5.0,Saudi Arabian Grand Prix,2,2024
63,RUS,russell,mercedes,6.0,Saudi Arabian Grand Prix,2,2024
38,BEA,bearman,ferrari,7.0,Saudi Arabian Grand Prix,2,2024
4,NOR,norris,mclaren,8.0,Saudi Arabian Grand Prix,2,2024
44,HAM,hamilton,mercedes,9.0,Saudi Arabian Grand Prix,2,2024
27,HUL,hulkenberg,haas,10.0,Saudi Arabian Grand Prix,2,2024
23,ALB,albon,williams,11.0,Saudi Arabian Grand Prix,2,2024
20,MAG,kevin_magnussen,haas,12.0,Saudi Arabian Grand Prix,2,2024
31,OCO,ocon,alpine,13.0,Saudi Arabian Grand Prix,2,2024
2,SAR,sargeant,williams,14.0,Saudi Arabian Grand Prix,2,2024
22,TSU,tsunoda,rb,15.0,Saudi Arabian Grand Prix,2,2024
3,RIC,ricciardo,rb,16.0,Saudi Arabian Grand Prix,2,2024
77,BOT,bottas,sauber,17.0,Saudi Arabian Grand Prix,2,2024
24,ZHO,zhou,sauber,18.0,Saudi Arabian Grand Prix,2,2024
18,STR,stroll,aston_martin,19.0,Saudi Arabian Grand Prix,2,2024
10,GAS,gasly,alpine,20.0,Saudi Arabian Grand Prix,2,2024
55,SAI,sainz,ferrari,1.0,Australian Grand Prix,3,2024
16,LEC,leclerc,ferrari,2.0,Australian Grand Prix,3,2024
4,NOR,norris,mclaren,3.0,Australian Grand Prix,3,2024
81,PIA,piastri,mclaren,4.0,Australian Grand Prix,3,2024
11,PER,perez,red_bull,5.0,Australian Grand Prix,3,2024
18,STR,stroll,aston_martin,6.0,Australian Grand Prix,3,2024
22,TSU,tsunoda,rb,7.0,Australian Grand Prix,3,2024
14,ALO,alonso,aston_martin,8.0,Australian Grand Prix,3,2024
