DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
44,HAM,hamilton,mercedes,1.0,Bahrain Grand Prix,1,2021
33,VER,max_verstappen,red_bull,2.0,Bahrain Grand Prix,1,2021
77,BOT,bottas,mercedes,3.0,Bahrain Grand Prix,1,2021
4,NOR,norris,mclaren,4.0,Bahrain Grand Prix,1,2021
11,PER,perez,red_bull,5.0,Bahrain Grand Prix,1,2021
16,LEC,leclerc,ferrari,6.0,Bahrain Grand Prix,1,2021
3,RIC,ricciardo,mclaren,7.0,Bahrain Grand Prix,1,2021
55,SAI,sainz,ferrari,8.0,Bahrain Grand Prix,1,2021
22,TSU,tsunoda,alphatauri,9.0,Bahrain Grand Prix,1,2021
18,STR,stroll,aston_martin,10.0,Bahrain Grand Prix,1,2021
7,RAI,raikkonen,alfa,11.0,Bahrain Grand Prix,1,2021
99,GIO,giovinazzi,alfa,12.0,Bahrain Grand Prix,1,2021
31,OCO,ocon,alpine,13.0,Bahrain Grand Prix,1,2021
63,RUS,russell,williams,14.0,Bahrain Grand Prix,1,2021
5,VET,vettel,aston_martin,15.0,Bahrain Grand Prix,1,2021
47,MSC,mick_schumacher,haas,16.0,Bahrain Grand Prix,1,2021
10,GAS,gasly,alphatauri,17.0,Bahrain Grand Prix,1,2021
6,LAT,latifi,williams,18.0,Bahrain Grand Prix,1,2021
14,ALO,alonso,alpine,19.0,Bahrain Grand Prix,1,2021
9,MAZ,mazepin,haas,20.0,Bahrain Grand Prix,1,2021
33,VER,max_verstappen,red_bull,1.0,Emilia Romagna Grand Prix,2,2021
44,HAM,hamilton,mercedes,2.0,Emilia Romagna Grand Prix,2,2021
4,NOR,norris,mclaren,3.0,Emilia Romagna Grand Prix,2,2021
16,LEC,leclerc,ferrari,4.0,Emilia Romagna Grand Prix,2,2021
55,SAI,sainz,ferrari,5.0,Emilia Romagna Grand Prix,2,2021
3,RIC,ricciardo,mclaren,6.0,Emilia Romagna Grand Prix,2,2021
10,GAS,gasly,alphatauri,7.0,Emilia Romagna Grand Prix,2,2021
18,STR,stroll,aston_martin,8.0,Emilia Romagna Grand Prix,2,2021
31,OCO,ocon,alpine,9.0,Emilia Romagna Grand Prix,2,2021
14,ALO,alonso,alpine,10.0,Emilia Romagna Grand Prix,2,2021
11,PER,perez,red_bull,11.0,Emilia Romagna Grand Prix,2,2021
22,TSU,tsunoda,alphatauri,12.0,Emilia Romagna Grand Prix,2,2021
7,RAI,raikkonen,alfa,13.0,Emilia Romagna Grand Prix,2,2021
99,GIO,giovinazzi,alfa,14.0,Emilia Romagna Grand Prix,2,2021
5,VET,vettel,aston_martin,15.0,Emilia Romagna Grand Prix,2,2021
47,MSC,mick_schumacher,haas,16.0,Emilia Romagna Grand Prix,2,2021
9,MAZ,mazepin,haas,17.0,Emilia Romagna Grand Prix,2,2021
77,BOT,bottas,mercedes,18.0,Emilia Romagna Grand Prix,2,2021
63,RUS,russell,williams,19.0,Emilia Romagna Grand Prix,2,2021
6,LAT,latifi,williams,20.0,Emilia Romagna Grand Prix,2,2021
44,HAM,hamilton,mercedes,1.0,Portuguese Grand Prix,3,2021
33,VER,max_verstappen,red_bull,2.0,Portuguese Grand Prix,3,2021
77,BOT,bottas,mercedes,3.0,Portuguese Grand Prix,3,2021
11,PER,perez,red_bull,4.0,Portuguese Grand Prix,3,2021
4,NOR,norris,mclaren,5.0,Portuguese Grand Prix,3,2021
16,LEC,leclerc,ferrari,6.0,Portuguese Grand Prix,3,2021
31,OCO,ocon,alpine,7.0,Portuguese Grand Prix,3,2021
14,ALO,alonso,alpine,8.0,Portuguese Grand Prix,3,2021
3,RIC,ricciardo,mclaren,9.0,Portuguese Grand Prix,3,2021
10,GAS,gasly,alphatauri,10.0,Portuguese Grand Prix,3,2021
55,SAI,sainz,ferrari,11.0,Portuguese Grand Prix,3,2021
99,GIO,giovinazzi,alfa,12.0,Portuguese Grand Prix,3,2021
5,VET,vettel,aston_martin,13.0,Portuguese Grand Prix,3,2021
18,STR,stroll,aston_martin,14.0,Portuguese Grand Prix,3,2021
22,TSU,tsunoda,alphatauri,15.0,Portuguese Grand Prix,3,2021
63,RUS,russell,williams,16.0,Portuguese Grand Prix,3,2021
47,MSC,mick_schumacher,haas,17.0,Portuguese Grand Prix,3,2021
6,LAT,latifi,williams,18.0,Portuguese Grand Prix,3,2021
9,MAZ,mazepin,haas,19.0,Portuguese Grand Prix,3,2021
7,RAI,raikkonen,alfa,20.0,Portuguese Grand Prix,3,2021
44,HAM,hamilton,mercedes,1.0,Spanish Grand Prix,4,2021
33,VER,max_verstappen,red_bull,2.0,Spanish Grand Prix,4,2021
77,BOT,bottas,mercedes,3.0,Spanish Grand Prix,4,2021
16,LEC,leclerc,ferrari,4.0,Spanish Grand Prix,4,2021
11,PER,perez,red_bull,5.0,Spanish Grand Prix,4,2021
3,RIC,ricciardo,mclaren,6.0,Spanish Grand Prix,4,2021
55,SAI,sainz,ferrari,7.0,Spanish Grand Prix,4,2021
4,NOR,norris,mclaren,8.0,Spanish Grand Prix,4,2021
31,OCO,ocon,alpine,9.0,Spanish Grand Prix,4,2021
10,GAS,gasly,alphatauri,10.0,Spanish Grand Prix,4,2021
18,STR,stroll,aston_martin,11.0,Spanish Grand Prix,4,2021
7,RAI,raikkonen,alfa,12.0,Spanish Grand Prix,4,2021
5,VET,vettel,aston_martin,13.0,Spanish Grand Prix,4,2021
63,RUS,russell,williams,14.0,Spanish Grand Prix,4,2021
99,GIO,giovinazzi,alfa,15.0,Spanish Grand Prix,4,2021
6,LAT,latifi,williams,16.0,Spanish Grand Prix,4,2021
14,ALO,alonso,alpine,17.0,Spanish Grand Prix,4,2021
47,MSC,mick_schumacher,haas,18.0,Spanish Grand Prix,4,2021
9,MAZ,mazepin,haas,19.0,Spanish Grand Prix,4,2021
22,TSU,tsunoda,alphatauri,20.0,Spanish Grand Prix,4,2021
33,VER,max_verstappen,red_bull,1.0,Monaco Grand Prix,5,2021
55,SAI,sainz,ferrari,2.0,Monaco Grand Prix,5,2021
4,NOR,norris,mclaren,3.0,Monaco Grand Prix,5,2021
11,PER,perez,red_bull,4.0,Monaco Grand Prix,5,2021
5,VET,vettel,aston_martin,5.0,Monaco Grand Prix,5,2021
10,GAS,gasly,alphatauri,6.0,Monaco Grand Prix,5,2021
44,HAM,hamilton,mercedes,7.0,Monaco Grand Prix,5,2021
18,STR,stroll,aston_martin,8.0,Monaco Grand Prix,5,2021
31,OCO,ocon,alpine,9.0,Monaco Grand Prix,5,2021
99,GIO,giovinazzi,alfa,10.0,Monaco Grand Prix,5,2021
7,RAI,raikkonen,alfa,11.0,Monaco Grand Prix,5,2021
3,RIC,ricciardo,mclaren,12.0,Monaco Grand Prix,5,2021
14,ALO,alonso,alpine,13.0,Monaco Grand Prix,5,2021
63,RUS,russell,williams,14.0,Monaco Grand Prix,5,2021
6,LAT,latifi,williams,15.0,Monaco Grand Prix,5,2021
22,TSU,tsunoda,alphatauri,16.0,Monaco Grand Prix,5,2021
9,MAZ,mazepin,haas,17.0,Monaco Grand Prix,5,2021
47,MSC,mick_schumacher,haas,18.0,Monaco Grand Prix,5,2021
77,BOT,bottas,mercedes,19.0,Monaco Grand Prix,5,2021
16,LEC,leclerc,ferrari,20.0,Monaco Grand Prix,5,2021
11,PER,perez,red_bull,1.0,Azerbaijan Grand Prix,6,2021
5,VET,vettel,aston_martin,2.0,Azerbaijan Grand Prix,6,2021
10,GAS,gasly,alphatauri,3.0,Azerbaijan Grand Prix,6,2021
16,LEC,leclerc,ferrari,4.0,Azerbaijan Grand Prix,6,2021
4,NOR,norris,mclaren,5.0,Azerbaijan Grand Prix,6,2021
14,ALO,alonso,alpine,6.0,Azerbaijan Grand Prix,6,2021
22,TSU,tsunoda,alphatauri,7.0,Azerbaijan Grand Prix,6,2021
55,SAI,sainz,ferrari,8.0,Azerbaijan Grand Prix,6,2021
3,RIC,ricciardo,mclaren,9.0,Azerbaijan Grand Prix,6,2021
7,RAI,raikkonen,alfa,10.0,Azerbaijan Grand Prix,6,2021
99,GIO,giovinazzi,alfa,11.0,Azerbaijan Grand Prix,6,2021
77,BOT,bottas,mercedes,12.0,Azerbaijan Grand Prix,6,2021
47,MSC,mick_schumacher,haas,13.0,Azerbaijan Grand Prix,6,2021
9,MAZ,mazepin,haas,14.0,Azerbaijan Grand Prix,6,2021
44,HAM,hamilton,mercedes,15.0,Azerbaijan Grand Prix,6,2021
6,LAT,latifi,williams,16.0,Azerbaijan Grand Prix,6,2021
63,RUS,russell,williams,17.0,Azerbaijan Grand Prix,6,2021
33,VER,max_verstappen,red_bull,18.0,Azerbaijan Grand Prix,6,2021
18,STR,stroll,aston_martin,19.0,Azerbaijan Grand Prix,6,2021
31,OCO,ocon,alpine,20.0,Azerbaijan Grand Prix,6,2021
33,VER,max_verstappen,red_bull,1.0,French Grand Prix,7,2021
44,HAM,hamilton,mercedes,2.0,French Grand Prix,7,2021
11,PER,perez,red_bull,3.0,French Grand Prix,7,2021
77,BOT,bottas,mercedes,4.0,French Grand Prix,7,2021
4,NOR,norris,mclaren,5.0,French Grand Prix,7,2021
3,RIC,ricciardo,mclaren,6.0,French Grand Prix,7,2021
10,GAS,gasly,alphatauri,7.0,French Grand Prix,7,2021
14,ALO,alonso,alpine,8.0,French Grand Prix,7,2021
5,VET,vettel,aston_martin,9.0,French Grand Prix,7,2021
18,STR,stroll,aston_martin,10.0,French Grand Prix,7,2021
55,SAI,sainz,ferrari,11.0,French Grand Prix,7,2021
63,RUS,russell,williams,12.0,French Grand Prix,7,2021
22,TSU,tsunoda,alphatauri,13.0,French Grand Prix,7,2021
31,OCO,ocon,alpine,14.0,French Grand Prix,7,2021
99,GIO,giovinazzi,alfa,15.0,French Grand Prix,7,2021
16,LEC,leclerc,ferrari,16.0,French Grand Prix,7,2021
7,RAI,raikkonen,alfa,17.0,French Grand Prix,7,2021
6,LAT,latifi,williams,18.0,French Grand Prix,7,2021
47,MSC,mick_schumacher,haas,19.0,French Grand Prix,7,2021
9,MAZ,mazepin,haas,20.0,French Grand Prix,7,2021
