DriverId,Rating,Position,TeamId,Engine,Season
norris,79.0,5.0,mclaren,renault,2020
sainz,82.0,6.0,mclaren,renault,2020
ricciardo,87.0,7.0,alpine,renault,2020
gasly,80.0,8.0,rb,rbpt,2020
ocon,80.0,9.0,alpine,renault,2020
stroll,78.0,10.0,aston_martin,mercedes,2020
kvyat,80.0,11.0,rb,rbpt,2020
raikkonen,87.0,12.0,sauber,ferrari,2020
leclerc,86.0,13.0,ferrari,ferrari,2020
vettel,89.0,14.0,ferrari,ferrari,2020
russell,75.0,15.0,williams,mercedes,2020
giovinazzi,73.0,16.0,sauber,ferrari,2020
latifi,64.0,17.0,williams,mercedes,2020
kevin_magnussen,78.0,18.0,haas,ferrari,2020
pietro_fittipaldi,,19.0,haas,ferrari,2020
perez,85.0,20.0,aston_martin,mercedes,2020
hamilton,95.0,1.0,mercedes,mercedes,2021
max_verstappen,95.0,2.0,red_bull,rbpt,2021
bottas,92.0,3.0,mercedes,mercedes,2021
norris,91.0,4.0,mclaren,mercedes,2021
perez,87.0,5.0,red_bull,rbpt,2021
leclerc,88.0,6.0,ferrari,ferrari,2021
ricciardo,90.0,7.0,mclaren,mercedes,2021
sainz,87.0,8.0,ferrari,ferrari,2021
tsunoda,82.0,9.0,rb,rbpt,2021
stroll,83.0,10.0,aston_martin,mercedes,2021
raikkonen,87.0,11.0,sauber,ferrari,2021
giovinazzi,79.0,12.0,sauber,ferrari,2021
ocon,86.0,13.0,alpine,renault,2021
russell,84.0,14.0,williams,mercedes,2021
vettel,89.0,15.0,aston_martin,mercedes,2021
mick_schumacher,76.0,16.0,haas,ferrari,2021
gasly,90.0,17.0,rb,rbpt,2021
latifi,71.0,18.0,williams,mercedes,2021
alonso,89.0,19.0,alpine,renault,2021
mazepin,67.0,20.0,haas,ferrari,2021
max_verstappen,95.0,1.0,red_bull,rbpt,2021
hamilton,95.0,2.0,mercedes,mercedes,2021
norris,91.0,3.0,mclaren,mercedes,2021
leclerc,88.0,4.0,ferrari,ferrari,2021
sainz,87.0,5.0,ferrari,ferrari,2021
ricciardo,90.0,6.0,mclaren,mercedes,2021
gasly,90.0,7.0,rb,rbpt,2021
stroll,83.0,8.0,aston_martin,mercedes,2021
ocon,86.0,9.0,alpine,renault,2021
alonso,89.0,10.0,alpine,renault,2021
perez,87.0,11.0,red_bull,rbpt,2021
tsunoda,82.0,12.0,rb,rbpt,2021
raikkonen,87.0,13.0,sauber,ferrari,2021
giovinazzi,79.0,14.0,sauber,ferrari,2021
vettel,89.0,15.0,aston_martin,mercedes,2021
mick_schumacher,76.0,16.0,haas,ferrari,2021
mazepin,67.0,17.0,haas,ferrari,2021
bottas,92.0,18.0,mercedes,mercedes,2021
russell,84.0,19.0,williams,mercedes,2021
latifi,71.0,20.0,williams,mercedes,2021
hamilton,95.0,1.0,mercedes,mercedes,2021
max_verstappen,95.0,2.0,red_bull,rbpt,2021
bottas,92.0,3.0,mercedes,mercedes,2021
perez,87.0,4.0,red_bull,rbpt,2021
norris,91.0,5.0,mclaren,mercedes,2021
leclerc,88.0,6.0,ferrari,ferrari,2021
ocon,86.0,7.0,alpine,renault,2021
alonso,89.0,8.0,alpine,renault,2021
ricciardo,90.0,9.0,mclaren,mercedes,2021
gasly,90.0,10.0,rb,rbpt,2021
sainz,87.0,11.0,ferrari,ferrari,2021
giovinazzi,79.0,12.0,sauber,ferrari,2021
vettel,89.0,13.0,aston_martin,mercedes,2021
stroll,83.0,14.0,aston_martin,mercedes,2021
tsunoda,82.0,15.0,rb,rbpt,2021
russell,84.0,16.0,williams,mercedes,2021
mick_schumacher,76.0,17.0,haas,ferrari,2021
latifi,71.0,18.0,williams,mercedes,2021
mazepin,67.0,19.0,haas,ferrari,2021
raikkonen,87.0,20.0,sauber,ferrari,2021
hamilton,95.0,1.0,mercedes,mercedes,2021
max_verstappen,95.0,2.0,red_bull,rbpt,2021
bottas,92.0,3.0,mercedes,mercedes,2021
leclerc,88.0,4.0,ferrari,ferrari,2021
perez,87.0,5.0,red_bull,rbpt,2021
ricciardo,90.0,6.0,mclaren,mercedes,2021
sainz,87.0,7.0,ferrari,ferrari,2021
norris,91.0,8.0,mclaren,mercedes,2021
ocon,86.0,9.0,alpine,renault,2021
gasly,90.0,10.0,rb,rbpt,2021
stroll,83.0,11.0,aston_martin,mercedes,2021
raikkonen,87.0,12.0,sauber,ferrari,2021
vettel,89.0,13.0,aston_martin,mercedes,2021
russell,84.0,14.0,williams,mercedes,2021
giovinazzi,79.0,15.0,sauber,ferrari,2021
latifi,71.0,16.0,williams,mercedes,2021
alonso,89.0,17.0,alpine,renault,2021
mick_schumacher,76.0,18.0,haas,ferrari,2021
mazepin,67.0,19.0,haas,ferrari,2021
tsunoda,82.0,20.0,rb,rbpt,2021
max_verstappen,95.0,1.0,red_bull,rbpt,2021
sainz,87.0,2.0,ferrari,ferrari,2021
norris,91.0,3.0,mclaren,mercedes,2021
perez,87.0,4.0,red_bull,rbpt,2021
vettel,89.0,5.0,aston_martin,mercedes,2021
gasly,90.0,6.0,rb,rbpt,2021
hamilton,95.0,7.0,mercedes,mercedes,2021
stroll,83.0,8.0,aston_martin,mercedes,2021
ocon,86.0,9.0,alpine,renault,2021
giovinazzi,79.0,10.0,sauber,ferrari,2021
raikkonen,87.0,11.0,sauber,ferrari,2021
ricciardo,90.0,12.0,mclaren,mercedes,2021
alonso,89.0,13.0,alpine,renault,2021
russell,84.0,14.0,williams,mercedes,2021
latifi,71.0,15.0,williams,mercedes,2021
tsunoda,82.0,16.0,rb,rbpt,2021
mazepin,67.0,17.0,haas,ferrari,2021
mick_schumacher,76.0,18.0,haas,ferrari,2021
bottas,92.0,19.0,mercedes,mercedes,2021
leclerc,88.0,20.0,ferrari,ferrari,2021
perez,87.0,1.0,red_bull,rbpt,2021
vettel,89.0,2.0,aston_martin,mercedes,2021
gasly,90.0,3.0,rb,rbpt,2021
leclerc,88.0,4.0,ferrari,ferrari,2021
norris,91.0,5.0,mclaren,mercedes,2021
alonso,89.0,6.0,alpine,renault,2021
tsunoda,82.0,7.0,rb,rbpt,2021
sainz,87.0,8.0,ferrari,ferrari,2021
ricciardo,90.0,9.0,mclaren,mercedes,2021
raikkonen,87.0,10.0,sauber,ferrari,2021
giovinazzi,79.0,11.0,sauber,ferrari,2021
bottas,92.0,12.0,mercedes,mercedes,2021
mick_schumacher,76.0,13.0,haas,ferrari,2021
mazepin,67.0,14.0,haas,ferrari,2021
hamilton,95.0,15.0,mercedes,mercedes,2021
latifi,71.0,16.0,williams,mercedes,2021
russell,84.0,17.0,williams,mercedes,2021
max_verstappen,95.0,18.0,red_bull,rbpt,2021
stroll,83.0,19.0,aston_martin,mercedes,2021
ocon,86.0,20.0,alpine,renault,2021
max_verstappen,95.0,1.0,red_bull,rbpt,2021
hamilton,95.0,2.0,mercedes,mercedes,2021
perez,87.0,3.0,red_bull,rbpt,2021
bottas,92.0,4.0,mercedes,mercedes,2021
norris,91.0,5.0,mclaren,mercedes,2021
ricciardo,90.0,6.0,mclaren,mercedes,2021
gasly,90.0,7.0,rb,rbpt,2021
alonso,89.0,8.0,alpine,renault,2021
vettel,89.0,9.0,aston_martin,mercedes,2021
stroll,83.0,10.0,aston_martin,mercedes,2021
sainz,87.0,11.0,ferrari,ferrari,2021
russell,84.0,12.0,williams,mercedes,2021
tsunoda,82.0,13.0,rb,rbpt,2021
ocon,86.0,14.0,alpine,renault,2021
giovinazzi,79.0,15.0,sauber,ferrari,2021
leclerc,88.0,16.0,ferrari,ferrari,2021
raikkonen,87.0,17.0,sauber,ferrari,2021
latifi,71.0,18.0,williams,mercedes,2021
mick_schumacher,76.0,19.0,haas,ferrari,2021
mazepin,67.0,20.0,haas,ferrari,2021
max_verstappen,95.0,1.0,red_bull,rbpt,2021
hamilton,95.0,2.0,mercedes,mercedes,2021
bottas,92.0,3.0,mercedes,mercedes,2021
perez,87.0,4.0,red_bull,rbpt,2021
norris,91.0,5.0,mclaren,mercedes,2021
sainz,87.0,6.0,ferrari,ferrari,2021
leclerc,88.0,7.0,ferrari,ferrari,2021
stroll,83.0,8.0,aston_martin,mercedes,2021
alonso,89.0,9.0,alpine,renault,2021
tsunoda,82.0,10.0,rb,rbpt,2021
raikkonen,87.0,11.0,sauber,ferrari,2021
vettel,89.0,12.0,aston_martin,mercedes,2021
ricciardo,90.0,13.0,mclaren,mercedes,2021
ocon,86.0,14.0,alpine,renault,2021
giovinazzi,79.0,15.0,sauber,ferrari,2021
mick_schumacher,76.0,16.0,haas,ferrari,2021
latifi,71.0,17.0,williams,mercedes,2021
mazepin,67.0,18.0,haas,ferrari,2021
russell,84.0,19.0,williams,mercedes,2021
gasly,90.0,20.0,rb,rbpt,2021
max_verstappen,95.0,1.0,red_bull,rbpt,2021
bottas,92.0,2.0,mercedes,mercedes,2021
norris,91.0,3.0,mclaren,mercedes,2021
hamilton,95.0,4.0,mercedes,mercedes,2021
sainz,87.0,5.0,ferrari,ferrari,2021
perez,87.0,6.0,red_bull,rbpt,2021
ricciardo,90.0,7.0,mclaren,mercedes,2021
leclerc,88.0,8.0,ferrari,ferrari,2021
gasly,90.0,9.0,rb,rbpt,2021
alonso,89.0,10.0,alpine,renault,2021
russell,84.0,11.0,williams,mercedes,2021
tsunoda,82.0,12.0,rb,rbpt,2021
stroll,83.0,13.0,aston_martin,mercedes,2021
giovinazzi,79.0,14.0,sauber,ferrari,2021
raikkonen,87.0,15.0,sauber,ferrari,2021
latifi,71.0,16.0,williams,mercedes,2021
vettel,89.0,17.0,aston_martin,mercedes,2021
mick_schumacher,76.0,18.0,haas,ferrari,2021
mazepin,67.0,19.0,haas,ferrari,2021
ocon,86.0,20.0,alpine,renault,2021
hamilton,95.0,1.0,mercedes,mercedes,2021
leclerc,88.0,2.0,ferrari,ferrari,2021
bottas,92.0,3.0,mercedes,mercedes,2021
norris,91.0,4.0,mclaren,mercedes,2021
ricciardo,90.0,5.0,mclaren,mercedes,2021
sainz,87.0,6.0,ferrari,ferrari,2021
alonso,89.0,7.0,alpine,renault,2021
stroll,83.0,8.0,aston_martin,mercedes,2021
ocon,86.0,9.0,alpine,renault,2021
tsunoda,82.0,10.0,rb,rbpt,2021
gasly,90.0,11.0,rb,rbpt,2021
russell,84.0,12.0,williams,mercedes,2021
giovinazzi,79.0,13.0,sauber,ferrari,2021
latifi,71.0,14.0,williams,mercedes,2021
raikkonen,87.0,15.0,sauber,ferrari,2021
perez,87.0,16.0,red_bull,rbpt,2021
mazepin,67.0,17.0,haas,ferrari,2021
mick_schumacher,76.0,18.0,haas,ferrari,2021
vettel,89.0,19.0,aston_martin,mercedes,2021
max_verstappen,95.0,20.0,red_bull,rbpt,2021
ocon,86.0,1.0,alpine,renault,2021
hamilton,95.0,2.0,mercedes,mercedes,2021
sainz,87.0,3.0,ferrari,ferrari,2021
alonso,89.0,4.0,alpine,renault,2021
gasly,90.0,5.0,rb,rbpt,2021
tsunoda,82.0,6.0,rb,rbpt,2021
latifi,71.0,7.0,williams,mercedes,2021
russell,84.0,8.0,williams,mercedes,2021
max_verstappen,95.0,9.0,red_bull,rbpt,2021
raikkonen,87.0,10.0,sauber,ferrari,2021
ricciardo,90.0,11.0,mclaren,mercedes,2021
mick_schumacher,76.0,12.0,haas,ferrari,2021
giovinazzi,79.0,13.0,sauber,ferrari,2021
mazepin,67.0,14.0,haas,ferrari,2021
norris,91.0,15.0,mclaren,mercedes,2021
bottas,92.0,16.0,mercedes,mercedes,2021
perez,87.0,17.0,red_bull,rbpt,2021
leclerc,88.0,18.0,ferrari,ferrari,2021
