DriverId,TeamId,Position,Season,Engine2020,Engine2021,Engine2022,Engine2023,Engine2024,Rating
sainz,mclaren,13.0,2020,renault,mercedes,mercedes,mercedes,mercedes,82.0
giovinazzi,sauber,14.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,73.0
latifi,williams,15.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,64.0
grosjean,haas,16.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,80.0
raikkonen,sauber,17.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,87.0
kvyat,rb,18.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
kevin_magnussen,haas,19.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,78.0
hulkenberg,aston_martin,20.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,
max_verstappen,red_bull,1.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,90.0
hamilton,mercedes,2.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,94.0
bottas,mercedes,3.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,90.0
leclerc,ferrari,4.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,86.0
albon,red_bull,5.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,79.0
stroll,aston_martin,6.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,78.0
hulkenberg,aston_martin,7.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,
ocon,alpine,8.0,2020,renault,renault,renault,renault,renault,80.0
norris,mclaren,9.0,2020,renault,mercedes,mercedes,mercedes,mercedes,79.0
kvyat,rb,10.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
gasly,rb,11.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
vettel,ferrari,12.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,89.0
sainz,mclaren,13.0,2020,renault,mercedes,mercedes,mercedes,mercedes,82.0
ricciardo,alpine,14.0,2020,renault,renault,renault,renault,renault,87.0
raikkonen,sauber,15.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,87.0
grosjean,haas,16.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,80.0
giovinazzi,sauber,17.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,73.0
russell,williams,18.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,75.0
latifi,williams,19.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,64.0
